local_time;calib_mode;gaze_hemi_x;gaze_hemi_y;gaze_world_x;gaze_world_y;first_time_entry;target_x;target_y
29/10/2018 11:57:05;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:05;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:06;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:07;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
29/10/2018 11:57:08;shrink;NaN;NaN;NaN;NaN;0;NaN;NaN
